"STATION","NAME","DATE","PRCP","TMAX","TMIN","TOBS"
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-08-08","0.00","87","74",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-08-09","0.00","80","58",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-08-10","0.00","79","59",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-08-11","0.00","81","61",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-08-12","0.00","84","63",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-08-13","2.97","79","59",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-08-14","0.01","78","60",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-08-15","0.03","84","68",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-08-16","0.00","83","68",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-08-17","0.69","72","70",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-08-18","0.00","78","66",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-08-19","0.36","85","63",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-08-20","0.00","84","63",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-08-21","0.00","85","65",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-08-22","0.35","88","70",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-08-23","0.00","88","64",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-08-24","0.00","92","69",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-08-25","0.00","80","73",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-08-26","0.00","76","55",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-08-27","0.00","78","57",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-08-28","0.00","77","57",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-08-29","0.00","81","54",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-08-30","0.15","77","68",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-08-31","0.30","82","68",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-09-01","0.00","72","64",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-09-02","0.00","73","60",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-09-03","0.00","78","56",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-09-04","0.00","78","56",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-09-05","0.00","78","60",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-09-06","0.00","83","59",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-09-07","0.00","89","65",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-09-08","0.00","94","68",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-09-09","0.00","89","68",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-09-10","0.12","70","66",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-09-11","0.25","85","69",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-09-12","0.00","71","59",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-09-13","0.00","74","51",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-09-14","0.00","75","50",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-09-15","0.00","74","56",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-09-16","0.00","77","62",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-09-17","0.00","76","59",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-09-18","0.00","70","55",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-09-19","0.00","74","53",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-09-20","0.00","83","61",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-09-21","0.00","84","67",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-09-22","0.00","78","71",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-09-23","1.52","75","56",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-09-24","0.00","75","50",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-09-25","0.00","78","56",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-09-26","0.00","68","56",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-09-27","0.00","69","52",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-09-28","0.00","71","48",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-09-29","0.00","73","53",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-09-30","0.00","79","52",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-10-01","0.03","66","54",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-10-02","0.02","69","56",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-10-03","0.00","92","65",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-10-04","0.00","88","62",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-10-05","0.00","75","64",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-10-06","0.00","81","68",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-10-07","0.00","77","53",
